t	T_C	T_H	T_1	T_2	T_3	T_4	p_C	p_H	P
0	17,2	16,8	20,8	20,3	20,7	21,1	4,1	4,2	108
2	16,3	18,6	20,1	20,9	19,7	12,8	3,5	4,8	110
4	15,7	19,5	19,3	23,5	20,4	11,4	3,5	5	110
6	13,5	22,4	17,2	31,3	22,8	10,2	3,3	5,6	115
8	11,6	25,3	12,2	34	24,5	7,7	2,9	6	109
10	9,5	27,9	13	36,8	27,5	7	2,9	6,6	102
12	8	29,7	10,4	38,5	28,7	4,2	2,5	6,9	101
14	6,4	31,6	11,4	40,4	30,6	4,2	2,6	7,4	106
16	5,1	33,4	10,2	42,3	31,8	3	2,4	7,8	101
18	3,9	35,2	9,9	43,9	33,2	2,5	2,2	8,3	104
20	2,9	36,8	10	45,4	35	1,8	2,2	8,7	104
22	2,1	38,3	9,4	46,6	36,1	0,7	2,1	8,9	103
24	1	39,6	9,3	48,2	37,7	0,5	2	9,4	101
26	0,3	40,7	9,1	49,3	38,4	-0,3	2	9,8	103
